,review,label
0,申公豹：“姜子牙，你保护世界，我保护你。”,1
1,"《姜子牙》真是个无聊的片子。和哪吒相比，大叔和小狐狸精的组合毫无观众缘，两年来第一次在电影院里睡着。
别跟我提特效，我看的就是IMAX ，多数时间，主角都在和红光打斗。
申公豹不结巴了，变得极其乏味，你看他死的时候知道导演在煽你，但你一点都不想哭。 
看在四不像的面子上给个二星吧。
同样看冰天雪地，我真不如去看一集熊出没。。。。",0
2,"制片人：你的新剧本是讲什么的？
编剧：故事发生在美国，州长叫黑帮老大去杀人，他来“剿匪”，事成之后让他做市长。
黑帮老大照做了，结果州长不仅没让他做市长，还把他抓了起来。
黑帮和百姓你争我斗，死伤惨重。
州长制造犯罪，再来制止犯罪，立了大功。
州长命令男主枪毙黑帮老大，男主一旦开枪，州长就会宣布这场犯罪是男主发起的，怕事情败露所以杀黑帮老大灭口。
结果男主没有开枪，还查出了州长的秘密，还要扳倒州长。
这一切都被总统看在眼里，他利用男主除掉了州长，利用完男主就把他打入大牢。
原来，叫黑帮老大去杀人其实是总统的主意，州长只不过是服从命令。
续集我都想好了，男主越狱了，准备曝光总统，最后差点就要成功，但还是失败了。
制片人：把男主改为姜子牙，州长改为师尊，黑帮老大改为九尾妖狐，总统改为师祖，改好了发给我。",1
3,画面美，剧情。。。,1
4,可能如果你抱着《哪吒》的心态去看姜子牙要失望了，姜子牙的格局要大至少两个梯度，包含苍生与个人、人与神的关系、宿命论等等哲学命题的探讨。相比哪吒没有那么的亲民，也没有那么强的娱乐性。全场基本没有笑点，唯一的笑点反而是最后的彩蛋。姜子牙不是很适合小孩去看，准确的说是一部哲理性的成人动画。,2
5,画面不错，剧情牵强,1
6,我再说一遍，画面再好都是虚的，能撑起一部电影的内涵最重要的绝不是特效，而是故事内涵和剧情。各位对国漫真是太宽容了，这么多年依旧如此,0
7,谁能想到子牙变耶稣，从此人间无神仙，中国有上帝呢？,1
8,听导演专访本片是删减后的次成品，想阐释的主题是神需被贬入凡间以人的视角经历苍生，才能明白苍生。此片本质上已是成人动画，甚至有点暗黑恐怖元素。剧本确实与主题撕裂，不知道是否是时长阉割妥协于资本排片的缘故，有种商业与文艺片之间强行掺杂的模糊感！但片中那些对生灵与普罗大众的悲悯情节着实升华了此片的立意！,2
9,可以说很惊喜了，没想到用封神的壳拍了一部公路片，更没想到在无比闹腾的哪吒之后，可以拍出一部这么有反叛性的姜子牙。个体与苍生的对立，个人与体制的对抗，系统对人性的束缚，这样的主题在现有的文艺作品中都不算多见，以一部动画电影来呈现就显得更加珍贵。叙事和世界观构建上都有可以更完善的空间，但也能在合格完成任务的同时带来惊喜。当然，和哪吒相比，搞笑的成分少了不少，不知道会不会因此影响票房成绩，但对我个人来说，这部姜子牙是中国动画在大圣和哪吒之后的又一次惊喜进步。,2
10,很多‘点’解释不清  高级RPG/PPT,1
11,槽点多的不知道该从何吐起：跑步动作尬的霹爆、姜子牙配音神似敖丙还很违和、女主长得酷似李元芳、你敢说玄鸟出场那段没借鉴十年前的阿凡达？动画不行就全靠炫酷场景撑场面、一言不合就升格眼睛大特写、阴谋论的故事最后草草收尾不了了之、人物形象完全没塑造明白、开头几分钟历史片段做的不如很多动画专业的毕设。最最最无语的是全片最好的笑点看点和唯一的3D效果分别出现在两个彩蛋里，讽刺的是在是过分了。,1
12,在资本与审查的双重夹攻下，中国电影走向颓势不可避免。“国产动画”的异军突起，俨然成为当下中国电影产业最值得分析的现象。它在乱象丛生、资本横流的商业电影夹缝中保留下一份相对纯粹的手工质感和作者特色，将传统文化汇入现代语境，完成极富中国特色的影像文本。,2
13,首先，这不是又一部哪吒，也没有必要再做一次哪吒，国漫需要更多的可能性。其次，这部作品基本是国产动画工业化水准的集中体现，1600人团队4年时间打磨，画面、视效、中国元素都没得说。最后，故事设定过于简单带来的问题就是节奏感不强，这估计会成为冲着哪吒来看的用户带大槽点，因为只有彩蛋会让你high。ps：补上映后交流李炜导演的话，“这是我想拍的姜子牙，努力呈现给大家了。”（大致意思）,2
14,"三星半吧～整体可以看作姜子牙的中年危机，一次对信仰，对体制，对自我的全面怀疑。主题核心的确比《哪吒》高出好几个段位，元始天尊与九尾的关系设置的确是加分点，部分有点让我联想到《倩女幽魂人间道》里朝廷命臣都是行尸走肉的空壳，而且最后斩天梯让我想起如懿断发中的反叛。但整体观感又让我觉得好憋屈啊！成年人的反叛怎么那么难呢，上有老下有小，左还有师兄，顾及太多，但能怎么办呢？谁叫你是成年人呢！",2
15,既然是全新的故事和设定那就不要披封神演义的皮啊。,0
16,事实就是，中国人对中国人的电影的要求又高，宽容度又低，至少低于外国烂片。,0
17,不知为啥那么多差评，这不终于有了一部拥有普世价值观的电影了吗？不救一人，怎救苍生？你们在国产片中可曾见到这种“拯救大兵瑞恩”式的价值导向？我希望越来越多的人能看这部电影！牺牲小我，成就大我的腐朽，滚犊子去吧！,2
18,一个画面：姜子牙披散着头发，身后金黄色的圣光，以为看到的是耶稣。,2
19,披着东方神话外衣的美式动漫,1
20,故事的感觉就跟天梯一样，长且又无聊。行看了imax，画面get到了。内容一言难尽。,1
21,不喜欢就是不喜欢，觉得幼稚就是觉得幼稚，中二狗血剧情，小学生编剧水平，画面特效也就一般吧……,0
22,国漫，我还是更喜欢大鱼海棠的画风。我是说在剧情一样烂的情况下。无语热评——作为动漫你还想要什么剧情？？拜托，剧情优秀的动漫比比皆是。我国的《魔方大厦》《黑猫警长》乃至一直被误会是儿童动画的《葫芦娃》，国外的《红辣椒》《千与千寻》《玛丽与马克思……真把动画动漫当儿童向作品了？？现在国漫的最需要的绝对不是学美国的技术，还是学日本的画风，而是向自己国家的前辈学学怎么讲故事,0
23,比《哪吒》成熟度高很多，平衡得也更好。天朝终于有了一部高级的3D动画电影了。,2
24,这咋姜子牙变耶稣了,1
25,编剧能先上完学再来写剧本吗？还有，上学的时候，努力把语文成绩搞好一点啊。,0
26,还在这我命由我不由天呢？,0
27,4.5星，一人不救何以救苍生？原著中出场最多但最没有存在感的姜子牙，变成了隐忍且执念的魅力大叔，与其说是对故事和人设的颠覆，倒不如说是对原著的解构，姜尚封神后的定位，封神榜里为什么没有九尾狐等等问题都有了答案。如山海经一样的世界观个人是超爱啊，玄鸟异兽与魑魅魍魉共存的北海古战场，是东方古典文化神韵与妖异魔幻的融合，艺术指导加分！四不相太萌，还有一个前所未见的申公豹。最终一战热血激昂，猛男落泪。PS，严肃题材，适合8岁以上观众，彩蛋爽死！,2
28,"好，剧本觉得像看了一出特别熟悉的香港警匪片，两个卧底(榜样师兄姜子牙落下神坛 晚辈申公豹心存热血)一场大型扫黑除恶(诛九尾)后，黑帮老大(九尾)逃脱，功臣被问责职(顶包背黑锅)，一次意外小型小偷抓捕案件重遇当年大案涉及人物，跟黑帮老大正面接触知晓隐情(公安上司(师尊)串通买断黑帮老大做替死鬼假借扫黑作秀掌权)当面质问，害死线人兄弟(四不相)“要天下再无不公”联合廉政公署(静虚宫上级师祖)搞翻领导，扣问心中正义(如果我们是做警察的，为天下苍生，牺牲一个救全部，那正义如何衡量)
结尾同门师弟(申公豹)他对正义的探寻才刚开始。

彩蛋[深海]挺好的。",2
29,绚烂 美好，不再是哪吒的低幼感，姜子牙讲了一个有深度的故事。从规则中走出来，从秩序中走出来，“成为自己的神”。国漫百尺竿头更进一步，工业化在路上。（一人血书二维部分出短片！,2
30,很燃，很惊喜，宏大的世界观，天马行空的想象力，最后付诸精彩的视觉特效，几场大战更是精彩纷呈，无论里子还是面子都很不错。当然，最意外的还是故事，内核其实关于寻找，姜子牙和苏妲己两位萍水相逢的路人，机缘巧合下携手上路，一个在找寻真相，一个在找寻身份。无论是救一人还是救苍生的发问，再到从封神到质疑神，再打碎神，无处不彰显着对权威的反抗，这弥足珍贵，也能看出主创们的用心良苦。从《大圣归来》到《哪吒》再到《姜子牙》，感慨中国动画人在国漫道路上的努力与薪火相传，立足于中国传统文化，不断与时俱进与创新，好的国漫自然会被观众认可！,2
31,燃度或许不及《哪吒》，但对于 “满嘴以大局为重实际上却利用权力和谎言操控众人为己谋私的上位者” 的反抗立意倒是和 “将父权反派形象安放到一心只想完成族人伟大复兴的龙族身上” 的《哪吒》一脉相承。“不救一人何以救苍生” 也分明是在对牺牲个体式的集体主义进行质疑。彩条屋够黑啊(误。不过申公豹在《哪吒》里面是个脸色苍白身板瘦削的反派大爷，在这里忽然变成一个为成全主角牺牲自我的勇猛壮年傻大个是怎么回事？以及姜子牙的配音和神态塑造实在伤春悲秋多愁善感得一点都不像被贬谪了十年的大叔。,2
32,太尴尬了，尴尬到我如坐针毡昏昏欲睡。无论你画面再这么精致作为商业电影的首要内核是把故事讲好吧。可是导演并不具备如此能力，其实本身是一个可以有很多发展空间，有很多精彩内核的剧本，无奈导演可能太年轻了，想要表达的东西太多了，一箩筐全倒在观众面前，观众根本不知道该把注意力放在哪个点上，情感是断裂的，节奏更是惨不忍睹，有点英雄主义悲天悯人的内核被拍成了一个看起来非常狗血甚至有点畸恋的故事…姜子牙本身是一个身负天下大义的悲壮英雄人物，被拍成了一个优柔寡断且脑子有泡的中二文艺青年…无数的闪回旁白更是打断了叙事节奏，几乎每部电影都会哭的我这次没有任何情绪，甚至有点搞笑，煽情的片段都搞不起我的情绪，台词念的我尴尬症都犯了。看完旁边的观众都说看不懂，我理解，本来就没拍好。彩蛋拍得都比电影好看，至少人物有血有肉,0
33,品质基本持平《哪吒》，部分段落甚至来得更加惊艳。除了动作场面精进了一大步，更重要的是人物情感与故事线索非常深刻，以当代的价值观对经典文本进行重塑，一次有力的颠覆。封神之战的战后世界，不但没有变好，反而变得荒凉。在废墟背后，则隐藏着令人毛骨悚然的“沉默的真相”。姜子牙的遭遇其实带着一股悲情色彩，但他的选择却是理想主义的。对所谓“天道”的发问和斩断天梯的行动，都是对权威系统的质疑与破坏——我们是要听信他人给出的真相，还是相信真相本身？这个主题能以这样的方式讲出来，外加顶级的制作，即便放在今年全球动画的范围中比，都能排到最前列。,2
34,神作。如无意外，是我今年TOP1国产片。哪吒已经足够好了，我很难想象姜子牙竟然还能思想成熟到这种地步！各方面都没短板，美术与运镜登峰造极，场景每一帧都可当壁纸，音效震撼，配乐渲染配合炉火纯青的节奏掌控，将我的情绪逐步调动到最高点。文戏与武戏均衡，视觉大场面完全值得IMAX3D效果！文戏议题深刻，世界观极其宏大，非纯娱乐的动画，是严肃的剧情片，不像哪吒那般粗暴直接。关于贪婪、怨念、歧视、公正，探讨自我肯定、个体与体制的抗争，以及拯救一人还是苍生的矛盾，有意无意加入了些许zz隐喻。整体剧情是渐进式的冒险，有罗生门式的悬念支撑，在递进中，姜子牙从信仰神，到怀疑神，再到成为自己的神，每个人物包括反派都是立体，充满观念上的思辨，娱乐深度兼具相辅相成，煽情自然，结尾落泪了…彩蛋梦幻联动，期待封神宇宙～！,2
35,故事有硬伤，但另起炉灶的原创精神可嘉。感觉彩条屋是在用大闹天宫的精神拍封神宇宙啊！不过彩蛋我好像看到了两个申公豹…,2
36,重塑封神是个好主意，可惜引子太老套，主题宏大而无趣。,1
37,1.相比混不吝的《哪吒》，《姜子牙》选了另一条更难走、却更有意义的路；至少让我惊讶的是，它竟能够在思想层面抵达这样的深度。2.如果说哪吒的执念是“我命由我不由天”，那么姜子牙的夙愿就是“愿这世间再无不公”；不同于原著中仙风道骨的姜太公，这里的姜子牙则展现出隐忍执著的珍贵品性，无论是“不救一人何以救苍生”的内心呼喊，还是“从封神到破神”层层递进的转变，都让我们相信这是一个有血有肉的、敢于抵抗权威的真英雄。这样的神话故事新编，无疑非常符合中国传统文化的精神内核。3.感慨于国产动画人的薪火相传，制作技术上日臻成熟，故事深度上更倾注心血。回想影片中，以骨片风铃祭奠亡魂那一幕给我的触动，足以与当年的《寻梦环游记》相媲美。4.据说元始天尊被罚的结局是后加的，像是为了证明他就是个单纯的反派，讽刺意味十足。,2
38,相对于简单的故事，传递价值的感受很明显。那些高高在上的人总以一种宏大的观念和说辞掩盖自己真实的目的，姜子牙在打破这个神话。救眼前一人，而不是用所谓苍生泯灭具体个人，这样的观念是很可贵的。,2
39,台词永远都这么恶心，国产剧能不能请个好编剧好好学学什么三观、什么叫思想、什么叫语言艺术,0
40,技术画面没得说，故事相比于哪吒更成人更宏大，但没那么好笑和生活化。反正我觉得国庆档能讲这么一个故事，挺厉害的。天尊的控制欲和自以为是的对黎民百姓的保护，不觉得细思极恐吗？,2
41,尴尬到用脚趾抠地，不煽情能死吗,0
42,挂骨风铃引渡亡魂，宿命红锁绑定元神。是信小九说她不是狐妖，或信九尾说你身在迷局，难道信师尊说诛杀九尾可拯救苍生？若想救苍生，才明白信很容易，不信才难。若想成神，才懂得斩恶很容易，斩善才难。是否要为苍生牺牲眼前人，是否要为封神断绝善恶。反倒羡慕初踏天梯的自己，一心救苍生，无知一切。,1
43,万万没想到国漫拍出一部“反黑廉政”故事，冤魂、天梯、宿命锁、除妖封神、牺牲一人救“苍生”、这是我对苍生最好的安排…你试着带入到那个体系里，细思极恐吓一跳！创作者太敢表达了！姜子牙强迫症这个小设定太爱了，太公对正义的坚持，小小小细节里就渗透出来。,2
44,相比《哪吒》，《姜子牙》的制作更加精良，成熟流畅的叙事之外还饱含情感，亡魂归家、四不相之死与申公豹的牺牲，甚至是苏妲己被阿父强送入宫，都是彰显人文关怀打动人心的泪点。而救一人还是救众生，这一发问将生死、家土、轮回等先民文化串联起来，那些还未被儒家君君臣臣三纲五常等糟粕所污染的普世精神在姜子牙这一道家人物身上完成了回归，而这恐怕是被丛林法则所浸染的当代社会最需要的东西。,2
45,我有好多疑惑。但最大的疑惑还是纣王的人设。他看起来像个gay里gay气的时尚教主，但他却很执着一段异性恋爱情。,0
