,review
0,"《姜子牙》真是个无聊的片子。和哪吒相比，大叔和小狐狸精的组合毫无观众缘，两年来第一次在电影院里睡着。
别跟我提特效，我看的就是IMAX ，多数时间，主角都在和红光打斗。
申公豹不结巴了，变得极其乏味，你看他死的时候知道导演在煽你，但你一点都不想哭。 
看在四不像的面子上给个二星吧。
同样看冰天雪地，我真不如去看一集熊出没。。。。"
1,我再说一遍，画面再好都是虚的，能撑起一部电影的内涵最重要的绝不是特效，而是故事内涵和剧情。各位对国漫真是太宽容了，这么多年依旧如此
2,既然是全新的故事和设定那就不要披封神演义的皮啊。
3,事实就是，中国人对中国人的电影的要求又高，宽容度又低，至少低于外国烂片。
4,不喜欢就是不喜欢，觉得幼稚就是觉得幼稚，中二狗血剧情，小学生编剧水平，画面特效也就一般吧……
5,国漫，我还是更喜欢大鱼海棠的画风。我是说在剧情一样烂的情况下。无语热评——作为动漫你还想要什么剧情？？拜托，剧情优秀的动漫比比皆是。我国的《魔方大厦》《黑猫警长》乃至一直被误会是儿童动画的《葫芦娃》，国外的《红辣椒》《千与千寻》《玛丽与马克思……真把动画动漫当儿童向作品了？？现在国漫的最需要的绝对不是学美国的技术，还是学日本的画风，而是向自己国家的前辈学学怎么讲故事
6,编剧能先上完学再来写剧本吗？还有，上学的时候，努力把语文成绩搞好一点啊。
7,还在这我命由我不由天呢？
8,太尴尬了，尴尬到我如坐针毡昏昏欲睡。无论你画面再这么精致作为商业电影的首要内核是把故事讲好吧。可是导演并不具备如此能力，其实本身是一个可以有很多发展空间，有很多精彩内核的剧本，无奈导演可能太年轻了，想要表达的东西太多了，一箩筐全倒在观众面前，观众根本不知道该把注意力放在哪个点上，情感是断裂的，节奏更是惨不忍睹，有点英雄主义悲天悯人的内核被拍成了一个看起来非常狗血甚至有点畸恋的故事…姜子牙本身是一个身负天下大义的悲壮英雄人物，被拍成了一个优柔寡断且脑子有泡的中二文艺青年…无数的闪回旁白更是打断了叙事节奏，几乎每部电影都会哭的我这次没有任何情绪，甚至有点搞笑，煽情的片段都搞不起我的情绪，台词念的我尴尬症都犯了。看完旁边的观众都说看不懂，我理解，本来就没拍好。彩蛋拍得都比电影好看，至少人物有血有肉
9,台词永远都这么恶心，国产剧能不能请个好编剧好好学学什么三观、什么叫思想、什么叫语言艺术
10,尴尬到用脚趾抠地，不煽情能死吗
11,我有好多疑惑。但最大的疑惑还是纣王的人设。他看起来像个gay里gay气的时尚教主，但他却很执着一段异性恋爱情。
12,中国动画电影在东方式的美学和类型套路上都已经有清晰的模版了，动画技术也已经很棒了，但就是编剧和导演一直都在拖后腿，每次有新片上映，都是死在烂故事和烂分镜上。看完《姜子牙》，又体会到导演对于一部电影成败的重要性，电影真的是导演的艺术，更加觉得饺子导演的镜头设计和写剧本上的天赋。天赋这东西可能靠老天赏饭，动画导演们实在不行，还可以学《大圣归来》的导演田晓鹏，去扒好莱坞动画电影的分镜设计啊，照扒总该会吧？《姜子牙》的问题是剧本整体的节奏出了问题，让故事显得拖沓，姜子牙和小九两个人物之间的关系也没有建立起来，让姜子牙最后的爆发变成了强行开挂。其实片子的主题很好，可惜还是死在了编剧讲故事的技巧和导演的分镜头设计上，期待封神宇宙可以更好。
13,本性纯良的姜子牙，在全片近两小时的左右互搏百爪挠心后，终于进化成了更加纯良的姜子牙。除此之外，他的身份还有：一名导游、一株墙头草和一尊没有头脑徒有热血的反叛者雕像。师尊立场的模糊和狐妖身世的单薄让全片意图探讨的宏大议题仅剩骨架。关卡设置的目的性太过明显，反转的桥段全部化作水到渠成，逻辑的顺拐与人物被命运吞噬的无力感背道而驰。仅凭泛滥和花哨的动作场面，救不了这部电影。《哪吒》是四两拨千斤，《姜子牙》是徒有其表败絮其中。
14,"现在国产电影能先把剧情逻辑捋顺吗？最后一分钟整出一个师尊的师傅这个角色出场还能再儿戏一点吗？而且师尊你封神力的效果咋还这么不稳定呢？
435"
15,脸大如盆敢和哪吒联动，难看死了，还一群小孩子旁边吵闹，好烦
16,就这就这就这？？？强行装逼最为膈应。顶着哪吒的热度和精心剪的预告片，能骗一波好票房。原以为能看到国产动漫之光和封神宇宙的建立。是我想多了。这幼稚的剧情和经不起推敲的逻辑以及苍白的台词，尴尬到坐不住，看在三十八票价。就坐着看吧，主要是时间正好有，也好久没进影院了，以后看电影还真的看评分八点五之上以及自己喜欢的演员了。提前四十分钟离场，看了半小时已经开始玩手机，学了一节外国文学史ppt走的
17,想了半天真的给不到两星。不是无下限，就是基本功不行。看得出立意高，但人物实在是过于扁平，情节编织非常笨拙，毫无戏剧张力，情感深度不够。公路部分两角色的关系变化很莫名其妙，看得出想炒很虐的cp，但真的打动不到我。如果哪吒是钢铁侠1，姜子牙要和无敌浩克一样被遗忘了
18,我很想感动，但我真不知道你们到底在演什么。
19,几部国产动画电影票房大胜后，一些早已存在的问题终于在这部影片中回落井喷。插科打诨式的台词并不适用于每部影片，剧情本身的孱弱就是根本性毁灭，再好的画面也无法掩盖，视觉调度的设置是否真的匹配电影这个体裁亟待商榷。唯一个可以肯定的是，姜子牙和四不象的形象设定还是很出色的，在衍生品市场大有钱途。
20,看了姜子牙，想到周星驰的好，他真是轻灵。没有拯救苍生的执念，从来不想成为谁的神。
21,很失望，比大圣归来还难看。动画做成公路片就像看人玩游戏一样，着实无聊。
22,没有像哪吒那样刻意插科打诨，动画技术和美术水准也始终在线，而且能看到一些稍有灵光的瞬间。但超负荷的视觉设计在最初的惊艳后只剩下疲倦，导演分镜技巧似乎更适合网游宣传片而不是电影，剧作的确狗屁不通，角色是重灾区，而且创作团队只是在烂俗的好莱坞反叛套路里面加入了一堆空洞的概念和口号，三界，众生，都只是徒有其表。到头来还是处在有钱有技术，但电影创作基本功一塌糊涂的阶段，因此再怎么有野心有想法也显得无力。
23,一顿乱吼，各种光效闪瞎眼，导演功力不足，一个好的故事内核难落俗套，小九的人物塑造不成功，专业卖惨有一套，申公豹估计是个师徒恋，姜子牙恋女情节，上演旷世神仙三角恋，太赞了！
24,《哪吒》对三幕结构尊重，扎扎实实做人物，清清楚楚表达主旨和价值观，都树立工业典范。结果《姜子牙》这个狗屁不通故事和人物一夜回到解放前，完全就是一个眼高手低、空洞无物的文本，连各种人物基本动机和关系都想不明白，还要强行拔高去和三界政治的稀泥。视听是很好，技术好审美也好，但脑子不好。也可以说，姜子牙这个人物和我们个体意识形态接受史很相似，没有贯通逻辑，官方一套，墙外一套，支离破碎炖在一起，最后就是一个连人都做不好还想拗圣母造型的工具人。
25,神话凡尔赛
26,因为我心爱的吒儿而来，然后看到吐血……剧情很烂，极其浓烈的欧美风的酒馆，欧美风的造型，还有浓浓欧美风的建筑风格，还来个布娃娃，还有纽扣，让我死吧，还各种强行煽情，不知道怎么说……多给一星是因为当美术片看还可以，其他就算了
27,就是电车难题啊………
28,剧情内核太烂了
29,比《信条》还看不懂的狗屁神仙逻辑。创作者似乎想借传说中空白的封神(后)宇宙，去思辨神的存在与神的权利，去乱七八糟的在狐族人族仙界(到底几个界)的跳跃中迷失。虚空的故事全靠一些垂直礼花似的快手效果撑满电影时间。唯一的0.5分给片尾彩蛋，好好丰满姜子牙性格，跟着《哪吒》的好基础，把他好好写成强迫症多好。
30,早上8:25冲进电影院，花了两个小时促进全球气候变暖。成熟的美术幼儿园级别的剧情，想要观众共情可不是通过人物的大喊大叫来实现。真希望那句“疫情让中国电影行业倒退30年”是真的......封神IP下埋着的是文化宝藏，而不是国人的钱。
31,"前十分钟看的我以为我在看预告片。
通篇的炫技感太重了，而且镜头衔接好差啊，这个导演真的有点问题。姜子牙申公豹的CP我真的吃不下。
姜子牙还是帅的，但一说话我就出戏。
四不像可可爱爱，它死的时候我才发现那个饼有馅！
这场有个小朋友真的很努力的在读字幕上他认识的字，家长劝都劝不住。"
32,我所佩服的是，全片没有两句连着的台词是真正连着的，这不是剧本不行，是语文不行
33,动画制作再精良剧情不过关也是白费，get不到导演想对观众表达啥，第一次给一星
34,两份全给画面，特效，为什么非要加一些奇奇怪怪的感情线？
