,review
0,申公豹：“姜子牙，你保护世界，我保护你。”
1,"制片人：你的新剧本是讲什么的？
编剧：故事发生在美国，州长叫黑帮老大去杀人，他来“剿匪”，事成之后让他做市长。
黑帮老大照做了，结果州长不仅没让他做市长，还把他抓了起来。
黑帮和百姓你争我斗，死伤惨重。
州长制造犯罪，再来制止犯罪，立了大功。
州长命令男主枪毙黑帮老大，男主一旦开枪，州长就会宣布这场犯罪是男主发起的，怕事情败露所以杀黑帮老大灭口。
结果男主没有开枪，还查出了州长的秘密，还要扳倒州长。
这一切都被总统看在眼里，他利用男主除掉了州长，利用完男主就把他打入大牢。
原来，叫黑帮老大去杀人其实是总统的主意，州长只不过是服从命令。
续集我都想好了，男主越狱了，准备曝光总统，最后差点就要成功，但还是失败了。
制片人：把男主改为姜子牙，州长改为师尊，黑帮老大改为九尾妖狐，总统改为师祖，改好了发给我。"
2,画面美，剧情。。。
3,画面不错，剧情牵强
4,谁能想到子牙变耶稣，从此人间无神仙，中国有上帝呢？
5,很多‘点’解释不清  高级RPG/PPT
6,槽点多的不知道该从何吐起：跑步动作尬的霹爆、姜子牙配音神似敖丙还很违和、女主长得酷似李元芳、你敢说玄鸟出场那段没借鉴十年前的阿凡达？动画不行就全靠炫酷场景撑场面、一言不合就升格眼睛大特写、阴谋论的故事最后草草收尾不了了之、人物形象完全没塑造明白、开头几分钟历史片段做的不如很多动画专业的毕设。最最最无语的是全片最好的笑点看点和唯一的3D效果分别出现在两个彩蛋里，讽刺的是在是过分了。
7,披着东方神话外衣的美式动漫
8,故事的感觉就跟天梯一样，长且又无聊。行看了imax，画面get到了。内容一言难尽。
9,这咋姜子牙变耶稣了
10,重塑封神是个好主意，可惜引子太老套，主题宏大而无趣。
11,挂骨风铃引渡亡魂，宿命红锁绑定元神。是信小九说她不是狐妖，或信九尾说你身在迷局，难道信师尊说诛杀九尾可拯救苍生？若想救苍生，才明白信很容易，不信才难。若想成神，才懂得斩恶很容易，斩善才难。是否要为苍生牺牲眼前人，是否要为封神断绝善恶。反倒羡慕初踏天梯的自己，一心救苍生，无知一切。
12,反抗力度比预期强一些，认真劲儿也比预期强一些（对比哪吒），或许也是正式上映前一直掩着的原因之一。技术层面一般但也有几个让人震颤的场面。开场的“杀杀杀”、被贬后众口“败类”、被一句“转世”蒙蔽，将神（政）、人（民）、自己批判一圈，尽管多少是流于表面。高潮戏的一处语焉不详，联系尾声引师祖出场，对于打破枷锁的力量还是保持着清醒；而更深一层可能是道高一丈的秩序仍在，也可能是希望只能向不切实际的更高处望寻。就电影来说，能成为告慰怨魂的骨片风铃就且算是不错的功绩了，因为现实中连让风铃响起的风都吹不起来。
13,【C】又杂又乱，还无聊。能看出主创团队想突破由《哪吒》所确定的立意上限，可是在立意上走了和《白蛇》一样的老毛病，想说的太多，却什么都没说清，最后就是这么个「高不成低不就」的作品。无论是人物还是情节都浮夸而生硬，影片前三分之二的剧情基本是在用最华丽的美术去包装最无聊的意境，角色间的互动与转变沦为了真正意义上的“儿戏”。至于动作戏更是拉胯，我不知道到底是经费问题还是导演自身水准不足，亦或是两者都有，动作各种掉帧，分镜各种凌乱，无法形成连贯的运动体系。这方面可以说完完全全被饺子导演吊打（《哪吒》就是现在娱乐性协调的最好的中国动画电影）。最后只能说，《深海》那个贴片预告比《姜子牙》全片都好看！
14,姜子牙变身以后磨皮效果不伦不类，七十的老头肌肤欺霜赛雪吹弹可破，可以去代言手机了：柔光自拍，照亮你的美。这个柔光效果简直就是对这部电影的隐喻：故事里的一切都是假的，都是为想象中的观众设定的。所以才会有那么多次强行催泪。最后一刻出现的鸿钧老祖，更是使得故事再入“皇帝是好的，只是被奸臣蒙蔽”的俗套。
15,不值得我在本可以睡懒觉的十一上午起大早去看 剧情太弱 画面我也看不出个所以然 中间的很多笑点有点不合时宜
16,画面更精美，制作感觉也烧了钱，但是总觉得花这么大精力只是讲了个“电车难题”的故事有点高射炮打蚊子，舍一人救苍生，宿命锁这些都勉强可以看成是对哪吒“逆天改命”叙事的变奏体。其实我更感兴趣的是，姜子牙作为“体制内”的游离者/出逃者，以一己之力对抗权力的故事，当然感觉这方面没法说太细，所以也只能隔靴搔痒点到为止。怎么说呢，就觉得片子的主题所有力气全都放在最终大战的那几句喊口号上了，结果呢，姜子牙跟师尊还是都受了罚，姜子牙觉得打碎天梯就可以改变不公，师尊以为统领三界就能够隐瞒真相，殊不知，一山更比一山高，big brother is watching you……所以这么看的话，这或许是部职场戏？
17,开场的几分钟还是很厉害的，之后的发展稍微有些乏味。整体看还是一部小文艺片的路数。更强调表达和传递世界观，不过传递的方式还是差了一些。
18,60/100，大概只有美术设计是亮点了，如果仔细看人物建模，还挺崩的。每一场动作戏的分镜和编排都是混乱的，几乎快要看不清。像这样经由大量剧作套路整合而成的故事，自然不会有什么大差错，但上限也不会高。另外这个还要解读成政治隐喻也是大可不必。算不上难看，最终结果也就是普通的行货。
19,在视觉上几乎无可指摘了，也觉得同一内核的叙事方式走到了尽头。大圣的故事动人，在于他第一次重新喊出了“我要这天再遮不住我眼”。到了哪吒，再喊“我命由我不由天”，已经是黔驴技穷（但我不喜欢哪吒并不只在于重复）。等到了姜子牙，仍旧是冲破枷锁。我们一贯喜欢宏大的叙事，这来自于我们的民族性。但曾经所有传奇中的角色，本应各有各鲜活的个性，分别有着各自的悲喜。如今却都被抹杀了差异化，他们只讲一个故事，只有一个执念，从不动摇，亦不成长。这才是弊病所在啊。
20,两星半。实际上还是我命由我不由天那套命题，但拍得更加保守，徒有华丽画面主线剧情一路泄气就算了，欠观众一场正面刚师尊的高潮戏就算了（所以砍断天梯后一笔带过交代对师尊的惩罚是创作者在害怕/影射/自我审查后的退而求其次？），最不能忍的是雪地里走路竟然没脚印……作为动画这种细节太减分了，十年前的单机都不会做得这么敷衍。
21,为没有刻板印象笑料而叫好，但写到人物关系递进的戏还是露怯，流向某种模板式的滑腻，情感太不自然——这似乎是国产动画剧作上的顽疾。仍是价值观之争，从哪吒的“我命由我不由天”到姜子牙的“这是什么天道”，一出白袍巫师的觉醒之路清晰铺开。前者是离经叛道惯了，在长期的不理解中爆发；后者则更为勇敢，在体制内选择自我放逐。善，只是一点星火，而漫长的十年悟道，是一个更惨烈的理想主义破灭的过程，令他痛下决裂之心。然而整起揭露可龃龉之处太多，最无可奈何是结尾借最权威之手拨乱反正——天外有天，人如棋子，逆天改命只是善意的谎言。
