,username,vote,review,rating
0,甜一杯,5291,第一集里男演员说编剧陈小千理解的女权和现实中的男权没有区别，不是真正的平等，爱情里不平等是无法沟通和相爱的，这不正是点题女权不是女尊而是平权吗？咋热赞还能说编剧理解错了女权？,4
1,Untamed,3021,哇！赵露思在演了一众古装狗血泡沫剧之后终于来了一个重磅的！剧情搞笑又不啰嗦！男主还是古装扮相好看！比现代剧强不少。如果之后剧情不垮掉，希望这剧能爆！,4
2,liaoScoundrel,2877,"第九集就看不下去了…愈加落入俗套，而且我本来以为的是有一小部分能提到男女平等，结果无论是女尊城还是男尊城，都还是重男轻女！女主还是依靠男人，装柔弱，两人喝酒都是她倒酒，捧男人，甚至到了这个女尊城设定形同虚设的感觉！很多规矩男人不能做还是做了，不能说的还是说了，说书先生和学府老师是男的？哪个朝代这些职位是女人做的了？更别说在女尊城！在一个文明繁荣的国度能做这两个职业地位绝不可能低！给我感觉男主仍是在男尊城一样，真的无语………
另外女主的做法一点新意都没有，编剧的身份没多大用，完全是女主光环！
都是作者编剧笔下的人物都像自己的孩子，男女主角也绝对是不能动摇的cp，再加上女主开头对自己剧本的重视，她在古代表现的就跟普通穿越者一样！根本没有上帝视角的感觉，萌点也没写出来！",3
3,vinasu😋,5459,我想吐槽热评的有一个评论啊——你有继续往后看吗？？这哪里极端女权了？？这明明就通过女主与两种观念的分歧来表达平等的，编剧把平权表达的还不错啊……麻烦您评论之前多看继集OK？？？////剧情异常反套路！！并且剧情流畅，最近的网剧中少见的剧情非常流畅且不尴尬的剧了，演技都很好，男主的小表情太可爱了哈哈哈哈，那个娇羞的表情我忘不了了我要笑死了哈哈哈哈哈哈哈///5.20日，看到吻戏我居然感到了心动哎，天哪，国产剧已经有好多年没有让我觉得心动的吻戏了！！！！这太让人意外了，惊喜惊喜。中间有很多反讽台词，有时候真的会心一笑。哇，本观众很满意，这有点超过预期啦！,5
4,野蒜,812,快节奏强设定搞笑剧以后会越来越多，通病是从第三集就开始变难看，男主角性格ooc，二倍速勉强看得下去。母胎单身的编剧只有在剧本幻想里才能搞到男演员这分明是悲剧。,3
5,阿五,2752,有新意有笑点有苏点的古偶小甜剧，比现在市面上90%的网剧好看，编剧很懂得收着来让剧情没有那么浮夸，而且这部剧难得配角也各有各的可爱就连反面角色都不脸谱化,4
6,虾球,933,青春饭能吃几年，就算要演也换个题材换个人设，提升一下演技，赵露思以前真的挺有灵气，希望她不要在舒适圈里固步自封，顺便说一句，她演技越来越差,2
7,关外十八,2280,"首先，剧本真的好啊，设计的很巧妙，而且真的很搞笑。
其次，赵露思演的很灵啊！！
今天发现原来这个编剧是南镇啊，之前看过《来到你的世界》就很妙。",5
8,奶酪有点咸,2033,"大结局女主醒来那段可以配上牛姐的rap“就当是一场梦，醒了很久还是很感动，还是很想被你保护心里的惨痛”
不知道那些说这部剧的主创不懂女权的，是否看了这部电视剧了。电视剧里面，两个城邦，一个男尊女卑，一个女尊男卑，女尊男卑城里女性对男性的态度，无疑也是对男权的一种反讽。
男权影视作品里的女德成了剧里的《男德》、女子不能做官成了男子不能做官……
明眼人都瞧得出，以上的种种这只是通过女版“男权”来对男权的一种讽刺而已(一种反讽、一种挖苦)。自己没看电视，就知道断章取义，剧里有个女尊男卑的城邦，就等于这部电视剧在宣扬女尊男卑思想？
我建议那些人还是从小学语文开始重新学起哦。",4
9,muye,1764,虽然女尊小说大把，但是拍成剧的这是第一部吧？甜爽甜爽的，肉丝简直太可爱了。/喷的最狠的守宫砂和说书先生的bug完全可以用女主7流年轻女编剧的设定来圆啊。还有合欢散的梗，女主自己都吐槽我是看他们都这么写我就这么写了，哈哈哈哈哈哈。真不愧是7流年轻女编剧，着实能力有限。,5
