,username,vote,review,rating
0,樹一,26,因为感情线太弱，整个观影没有什么愉悦感，倒是像在听一节竞赛培训课，老师自己讲得很投入，台下百分之八十的学生都在硬撑着不让自己走神，于是有一半假装自己听懂了，有一半准备放弃这门竞赛。,3
1,判官,29,看得我抓耳挠腮，前一个小时一直如坐针毡，人物动机和细节根本不能推敲，感觉非常土....配乐动次打次，尤其是女主和她的霸道总裁老公设定，啥啊.....这么说吧，就是一部浓缩低配版的《暗黑》，还没有《双子杀手》好看，不是，比《双子杀手》还要难看，如果撇去时间奇观完全就是一部ppt电影。而且这个剧情到底有啥烧脑的，时空大门的设定就很好解释了一切啊.....未来的穿过去，同时遵循物理规律，只要视角一直跟着男主就好了，那么简单的东西怎么会搞得那么复杂，更可怕的是，用来解析的影评又把它更复杂化了....没必要。,3
2,烟波人长安,36,男主好惨喔，跑来跑去拯救世界，连顿饭都吃不上，每次都是菜上来了他拍拍屁股就要走了。。那个英国贵族也好惨喔，都混到男爵了，午饭还是在吃炸薯条。。。,4
3,一只鹦鹉,0,烧脑个屁，这是炸脑，出电影院发现头烧焦了的可以集合了,4
4,思路乐,34,【B－】《敦刻尔克》有多让人惊喜，那《信条》就有多让人失望。前两幕仍然是诺兰的调性，当IMAX画幅铺满银幕，当实拍的时空逆转效果呈现在眼前，观众大多都会忽略人物动机的草率与缺失，直到第三幕。诺兰终于超越了自己在《盗梦空间》所达成的「调度灾难」，并将其上升到了一种全新的境界。“时间钳形行动”这个惊人的概念在诺兰手中呈现的结果是影史灾难级别的剪辑灾难。IMAX、胶片摄影、实景拍摄、多线叙事，这些他曾经狂热而痴迷的作者印记，现在成为反噬电影本身的“罪魁祸首”。诺兰已经跌入「迷失域」的边缘，如同《致命魔术》的主角一般走火入魔。这种境遇似乎和李安类似，但好歹李安所丢失的是自己曾经所擅长的，而诺兰这次是全方位无死角的放大了他那该死的缺点，前者只是可惜，而后者就是完完全全的蠢了。,3
5,saintdump,18,IMAX*和平。巴赫的螃蟹卡农用两个声部分别演奏正逆旋律，在诺兰这里，是用两种运动（也包括配乐），来呈现时间的双向叠加、或不如说复调，且不说物理上的瑕疵（光没逆），更深的问题在于，电影的播放——作为第三种运动被割裂开来，铺上一道因果顺序的阴影，在战场戏尤其明显，各行其是的动线带来对共时性感知的破坏，变成一种眼力游戏，而任意门的设置加剧了这种游戏感，把影片定调为终结者、前目的地之类的时间任务，再一次，为了讲完一个故事，诺兰将充满不确定性的概念，坍缩为机械决定论的通关——人物在对宿命的接受中完成英雄的弧光，一道技术的糖浆，洒在一套类型化的观念上。有点可惜，诺兰很善于把概念故事化，这部甚至换上了更先锋的音乐，但没有对电影本体的反思（like黑镜特别篇），电影对他好像只是一张乐谱，而不是心的振动。,3
6,4cats,18,就是像编程，不像电影。这样的创作，有点像人机大战，nolan无疑靠在了机的这一边（今次几句情感走向的台词都蛮像大数据筛检出来的）他或许会进化得更精密和庞大，然而科技终将造出一个nolan II 取代他，这就是nolan悖论呀！,3
7,王俊俊,20,小失望，剧情太简单，没有解谜和叙事诡计，甚至我猜到很多剧情走向，抓住了大部分细节。和粉丝立了挑战书，很期待，却发现毫无压力不烧脑。但也有惊喜，视觉上看到各种逆行动作，诡异扭曲又精彩的编排，达到了另一种烧脑:非逻辑层面而是奇观冲击，值得全神贯注欣赏。有几个设定和细节也很惊艳，时间线也很有趣，尼尔无疑是最感人的角色，英雄赴死。一些伏笔和互文比较细节，但都记住了。但最有趣的还是诺兰致敬自己，盗梦空间的节奏，记忆碎片的正反时间线，终结者的英雄赴死未来再见。值得说道的地方很多，但故事本身不难懂，4星，我不需要二刷。最后女主是真的高，190,4
8,巴伐利亞酒神,21,开头不是开头，只是你看到的开头；结尾不是结尾，只是你看到的结尾。无数次的时间游戏，葬送在无数次的时间钳形运动的汪洋大海中。核心思想：1.祖父悖论；2.我们无法区分自我意识和多重时空的关联。俄国人和男主在一个你看不见的时间线上早已相爱相杀一万次了。最后感谢桃花岛观影团。,4
9,毛香菇,23,“……恨爱起泛海浮”起响会为以，候时的别道中墟废在员演男个三。题问的好讲事故把有没次一又兰诺是，题问的脑烧不烧是不,3
10,远子,16,难看。,2
11,严荼,35,"可见诺兰向来对于加速表演的掌控力，模型和语言浓缩概括抽象时空的概念，凌厉删减累赘的背景和过场；
但要删减控节奏就等比减动作啊，宁可把更多的时间留给渲染逆熵概念的冗余动作奇观，和更无聊的交通工具场景奇观，也不愿意把情节动机和人物动机稍微展开；到头来围着一个抖机灵的概念，和说出来站不住脚的初衷自嗨150分钟，没有任何深刻的人物和情怀推演，只是概念的狂欢。",2
12,瓦力,17,诺兰这次用高艰深死命砸观众，结果玩脱了，《星际穿越》时隔6年影院重温还是会被感动，而这部《信条》搞懂了就不想再看哪怕一遍，这就是区别，而且漏洞还真是不少啊。,3
13,喂饭,28,《星际穿越》里的时间虽然被排序和使用，但它不能操控的部分仍在被哀悼：在进入五维空间以前，男主角不可避免地活在这两者不可调和的矛盾中。TENET却把时间当作纯机械的语言，之中几乎没有情感矛盾。男主角的命运在于使用时间。精确计算和游戏时间的人成为这个世界观里的强权者。一切为时间吊唁的行为都被视为累赘，是会像女主角那般“脆弱的”。所以TENET是一部被当代信息社会全然附体的电影，电影里只有对绩效的膜拜，“信条”是唯一线索，线索也是唯一信条。,2
14,Lottie,25,。己自了估高我是,3
15,荻野千尋Q_,0,？,3
16,未来事务管理局,23,"媒体观影归来。在商业片领域，以如此大的规模展示双向时间线，《信条》是第一次。故事不难，预告片交代得足够清楚：未来，人类发明了一种逆转时间的技术，引发灾难。主角奉命拯救世界。

比较要命的是，这项技术并非传统的时间旅行：把你送回过去，时间还是【从前往后】流动。而是让时间倒着流，【从后往前】。字面意义上的【倒带】。

你会看到：1、视觉上的逆行 2、物理法则的逆行。鸟倒着飞，人倒着着走；下雨了，水往高处流；开个枪，是接住飞回来的子弹……正、逆两种时间，在同一空间里直接接触，爆发视觉奇观。

人类看不见时间。那我们是如何理解时间的？答：通过时间留下的痕迹。本片的做法，是把时间“空间化”。

建议一刷就专心感受逆向的时间在大银幕上扑面而来的快感。",3
17,培根君,24,化境诺兰！好久没看片这么“醒脑”了～光第一遍就够嚼头了。新配乐很适合这部的风格，情感戏个人认为仍是诺兰弱项，但这一次也拉的够满～最主要就是这回玩的这概念，故事大家就且消化吧～“当年因为没看懂，这部神作被无数人打了1星”，5年后营销号标题都起好了～,5
18,zykmilan,36,“未来的世界里海平面上升”，所以诺兰费了这么大心思其实是拍了一部环保宣传片……时隔整半年后再进电影院，以诺兰的TENET开始实在太heavy了，整个后半程我的嘴都合不上，只是在默念WTF。太烧脑了，一刷甚至二刷都基本没有完全看懂的可能，原以为是时间旅行，但是发现远比时间旅行复杂得多，而是“时空内卷”，看上去这位实拍狂魔应该没少用到一些youtube创意视频里才会见到的拍摄之后倒放，不可谓不大胆。而做如此尝试就需要异常强大的世界观构建和剧本完善，而这恰恰是诺兰（和他弟弟）最擅长的。因此我愿意在没有完全看懂的情况下给五星，给这种看完之后回味无穷的解谜的快感，给他如此极具创意地不断丰富类型电影的剧作和拍摄手法。,5
19,RUNE,30,硬科幻，“强”剧情。思来想去，还是只能给个三星。,3
